Word,log_freq_pm,Nletters,Nphon,Nsyll,Perc_known_final,letters_per_syll,phon_per_syll,letters_per_phon,letters_x_syll,phon_x_syll,is_lemma_match,lemma_length_diff,AoA_final,Age_Group
apologies,2.282782465697866,9,8,4,1.0,2.25,2.0,1.125,36,32,0,2,5.56,below_6
apologize,3.919446364385558,9,8,4,1.0,2.25,2.0,1.125,36,32,1,0,5.67,below_6
apologized,1.5234954826333758,10,9,4,1.0,2.5,2.25,1.1111111111111112,40,36,0,1,5.67,below_6
apologizing,1.3151984394361602,11,10,5,1.0,2.2,2.0,1.1,55,50,0,2,5.67,below_6
apology,2.8192758362124346,7,7,4,1.0,1.75,1.75,1.0,28,28,1,0,5.56,below_6
apparent,1.6516706760573734,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,1,0,10.25,age_8_plus
appeal,2.6390573296152584,6,4,2,1.0,3.0,2.0,1.5,12,8,1,0,10.21,age_8_plus
appeals,1.3046163301056233,7,5,2,1.0,3.5,2.5,1.4,14,10,0,1,10.21,age_8_plus
appear,3.1934574587863853,6,4,2,1.0,3.0,2.0,1.5,12,8,1,0,6.67,age_6_8
appearance,2.5327626709656355,10,7,3,1.0,3.3333333333333335,2.3333333333333335,1.4285714285714286,30,21,1,0,8.83,age_8_plus
appearances,1.400893160541043,11,9,4,1.0,2.75,2.25,1.2222222222222223,44,36,0,1,8.83,age_8_plus
appeared,2.378092645502191,8,5,2,1.0,4.0,2.5,1.6,16,10,0,2,6.67,age_6_8
appearing,1.203972804325936,9,6,3,1.0,3.0,2.0,1.5,27,18,0,3,6.67,age_6_8
appears,3.0937126819141945,7,5,2,1.0,3.5,2.5,1.4,14,10,0,1,6.67,age_6_8
appendix,1.28311012488466,8,8,3,1.0,2.6666666666666665,2.6666666666666665,1.0,24,24,1,0,10.56,age_8_plus
appetite,2.2966853708668573,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,1,0,8.83,age_8_plus
applaud,1.143348182509501,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,7.1,age_6_8
applause,2.5091209079085948,8,5,2,0.9523809523809523,4.0,2.5,1.6,16,10,1,0,6.2,age_6_8
apple,3.20545280453606,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,4.15,below_6
apples,2.2293816889707507,6,5,2,1.0,3.0,2.5,1.2,12,10,0,1,4.15,below_6
application,2.3978952727983707,11,9,4,1.0,2.75,2.25,1.2222222222222223,44,36,1,0,9.39,age_8_plus
applications,1.4105086192404854,12,10,4,1.0,3.0,2.5,1.2,48,40,0,1,9.39,age_8_plus
applied,1.968071720858166,7,5,2,1.0,3.5,2.5,1.4,14,10,0,2,9.21,age_8_plus
applies,1.2499579175677595,7,5,2,1.0,3.5,2.5,1.4,14,10,0,2,9.21,age_8_plus
apply,2.603415638289333,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,9.21,age_8_plus
applying,1.5277598814198332,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,0,3,9.21,age_8_plus
appoint,1.111599484194921,7,5,2,0.9444444444444444,3.5,2.5,1.4,14,10,1,0,10.29,age_8_plus
appointed,1.83961549040569,9,7,3,0.9444444444444444,3.0,2.3333333333333335,1.2857142857142858,27,21,0,2,10.29,age_8_plus
appointment,3.452163825254183,11,9,3,1.0,3.6666666666666665,3.0,1.2222222222222223,33,27,1,0,7.53,age_6_8
appointments,1.479820419130714,12,10,3,1.0,4.0,3.3333333333333335,1.2,36,30,0,1,7.53,age_6_8
appreciate,4.462973910477845,10,8,4,1.0,2.5,2.0,1.25,40,32,1,0,8.8,age_8_plus
appreciated,1.905904814441614,11,10,5,1.0,2.2,2.0,1.1,55,50,0,1,8.8,age_8_plus
appreciates,1.4152818979931427,11,9,4,1.0,2.75,2.25,1.2222222222222223,44,36,0,1,8.8,age_8_plus
appreciation,1.8111775550851565,12,10,5,1.0,2.4,2.0,1.2,60,50,1,0,8.5,age_8_plus
apprehended,1.1180303745252111,11,10,4,1.0,2.75,2.5,1.1,44,40,0,2,11.47,age_8_plus
approach,3.0901507903478342,8,5,2,1.0,4.0,2.5,1.6,16,10,1,0,8.5,age_8_plus
approached,1.670293188155375,10,6,2,1.0,5.0,3.0,1.6666666666666667,20,12,0,2,8.5,age_8_plus
approaches,1.4708517491479536,10,7,3,1.0,3.3333333333333335,2.3333333333333335,1.4285714285714286,30,21,0,2,8.5,age_8_plus
approaching,2.6249527234337164,11,7,3,1.0,3.6666666666666665,2.3333333333333335,1.5714285714285714,33,21,0,3,8.5,age_8_plus
appropriate,2.630618460969394,11,9,4,1.0,2.75,2.25,1.2222222222222223,44,36,1,0,9.16,age_8_plus
approval,2.2398749646865896,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,1,0,7.95,age_6_8
approve,2.515480229816887,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,7.89,age_6_8
approved,2.0135949758822496,8,6,2,1.0,4.0,3.0,1.3333333333333333,16,12,0,1,7.89,age_6_8
apron,1.2992829841302609,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,6.75,age_6_8
aquarium,1.3256697393034558,8,8,4,1.0,2.0,2.0,1.0,32,32,1,0,6.84,age_6_8
arc,1.7652678537810784,3,3,1,1.0,3.0,3.0,1.0,3,3,1,0,9.418817,age_8_plus
arcade,1.1557707025080584,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,7.79,age_6_8
arch,1.5446379192071849,4,3,1,0.9979134063641106,4.0,3.0,1.3333333333333333,4,3,1,0,8.26,age_8_plus
archbishop,1.5446379192071849,10,8,3,1.0,3.3333333333333335,2.6666666666666665,1.25,30,24,1,0,10.45,age_8_plus
archer,1.8642321180410462,6,4,2,0.95,3.0,2.0,1.5,12,8,1,0,9.226991000000002,age_8_plus
architect,2.0214177015634585,9,8,3,0.9444444444444444,3.0,2.6666666666666665,1.125,27,24,1,0,10.12,age_8_plus
architecture,1.4294665329850993,12,9,4,1.0,3.0,2.25,1.3333333333333333,48,36,1,0,10.06,age_8_plus
archives,1.2611312181658845,8,6,2,1.0,4.0,3.0,1.3333333333333333,16,12,1,0,10.878826,age_8_plus
are,8.558384059070903,3,2,1,1.0,3.0,2.0,1.5,3,2,0,1,5.11,below_6
area,4.329700815672142,4,4,3,1.0,1.3333333333333333,1.3333333333333333,1.0,12,12,1,0,6.58,age_6_8
areas,2.2966853708668573,5,5,3,1.0,1.6666666666666667,1.6666666666666667,1.0,15,15,0,1,6.58,age_6_8
arena,1.5320061723012843,5,4,3,1.0,1.6666666666666667,1.3333333333333333,1.25,15,12,1,0,9.57,age_8_plus
argue,3.032309979693919,5,5,2,1.0,2.5,2.5,1.0,10,10,1,0,4.61,below_6
argued,1.3099213823353169,6,6,2,1.0,3.0,3.0,1.0,12,12,0,1,4.61,below_6
arguing,2.4567357728213044,7,7,3,1.0,2.3333333333333335,2.3333333333333335,1.0,21,21,0,2,4.61,below_6
argument,2.8903717578961645,8,9,3,1.0,2.6666666666666665,3.0,0.8888888888888888,24,27,1,0,7.55,age_6_8
arguments,1.70652903660942,9,10,3,1.0,3.0,3.3333333333333335,0.9,27,30,0,1,7.55,age_6_8
arise,1.376442064676879,5,3,2,1.0,2.5,1.5,1.6666666666666667,10,6,1,0,6.89,age_6_8
aristocrats,1.1619245680824366,11,10,4,0.9444444444444444,2.75,2.5,1.1,44,40,0,1,11.88,age_8_plus
ark,1.5896352851379205,3,3,1,0.9473684210526315,3.0,3.0,1.0,3,3,1,0,7.17,age_6_8
arm,4.195874220093446,3,3,1,1.0,3.0,3.0,1.0,3,3,1,0,3.26,below_6
armadillo,1.3911843464140823,9,8,4,1.0,2.25,2.0,1.125,36,32,1,0,8.608885,age_8_plus
armed,3.170673723050323,5,4,1,1.0,5.0,4.0,1.25,5,4,1,0,8.72,age_8_plus
armies,1.501896370829914,6,5,2,1.0,3.0,2.5,1.2,12,10,0,2,7.15,age_6_8
armor,2.1155465463219523,5,4,2,1.0,2.5,2.0,1.25,10,8,1,0,7.17,age_6_8
armored,1.4480717208161338,7,5,2,1.0,3.5,2.5,1.4,14,10,1,0,9.5,age_8_plus
arms,4.107654286376123,4,4,1,1.0,4.0,4.0,1.0,4,4,1,0,3.738636,below_6
army,4.462295561101917,4,4,2,1.0,2.0,2.0,1.0,8,8,1,0,7.15,age_6_8
around,6.603571790900558,6,4,2,1.0,3.0,2.0,1.5,12,8,1,0,5.944635000000001,below_6
aroused,1.1680407950998728,7,4,2,1.0,3.5,2.0,1.75,14,8,0,1,12.63,age_8_plus
arrange,2.8039543815180012,7,4,2,1.0,3.5,2.0,1.75,14,8,1,0,8.28,age_8_plus
arranged,2.842398253633289,8,5,2,1.0,4.0,2.5,1.6,16,10,0,1,8.28,age_8_plus
arrangement,2.346695791441519,11,8,3,1.0,3.6666666666666665,2.6666666666666665,1.375,33,24,1,0,9.89,age_8_plus
arrangements,2.3835323687980092,12,9,3,1.0,4.0,3.0,1.3333333333333333,36,27,0,1,9.89,age_8_plus
array,1.1370785694959056,5,2,2,0.9047619047619048,2.5,1.0,2.5,10,4,1,0,10.79,age_8_plus
arrest,4.103453278420341,6,4,2,1.0,3.0,2.0,1.5,12,8,1,0,7.47,age_6_8
arrested,3.58133791250975,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,0,2,7.47,age_6_8
arresting,1.5612358106162227,9,6,3,1.0,3.0,2.0,1.5,27,18,0,3,7.47,age_6_8
arrests,1.320447795322304,7,5,2,1.0,3.5,2.5,1.4,14,10,0,1,7.47,age_6_8
arrival,2.2272697557676073,7,5,3,1.0,2.3333333333333335,1.6666666666666667,1.4,21,15,1,0,8.06,age_8_plus
arrive,2.9799216675273485,6,3,2,1.0,3.0,1.5,2.0,12,6,1,0,6.26,age_6_8
arrived,3.6690768268177565,7,4,2,1.0,3.5,2.0,1.75,14,8,0,1,6.26,age_6_8
arrives,2.3220031788511473,7,4,2,1.0,3.5,2.0,1.75,14,8,0,1,6.26,age_6_8
arriving,2.1662486494419144,8,5,3,1.0,2.6666666666666665,1.6666666666666667,1.6,24,15,0,2,6.26,age_6_8
arrogance,1.341173925839421,9,7,3,1.0,3.0,2.3333333333333335,1.2857142857142858,27,21,1,0,11.72,age_8_plus
arrogant,1.8270761411529548,8,7,3,1.0,2.6666666666666665,2.3333333333333335,1.1428571428571428,24,21,1,0,9.95,age_8_plus
